index,all_sentence,sentence_onset,sentence_offset
253,"Orcas are huge, like twenty to thirty feet long.                                                                                                                                                                                                                                                                   ",1220.460428,1222.720428
254,And they weigh about six tons.                                                                                                                                                                                                                                                                                     ,1223.140428,1224.090428
255,They typically travel around seventy five miles in a day.                                                                                                                                                                                                                                                          ,1225.260428,1227.700428
256,"PETA said that keeping these orcas at SeaWorld in small concrete tanks against their will to perform for human entertainment, that was slavery.                                                                                                                                                                    ",1229.130428,1236.570428
257,PETA lost that case.                                                                                                                                                                                                                                                                                               ,1238.070428,1238.750428
258,But SeaWorld has agreed to end captive orca program after the last of their twenty seven orcas dies.                                                                                                                                                                                                               ,1239.890428,1244.760428
259,"To understand why PETA is pursuing cases like these, you have to consider two very different pictures about how the world works.                                                                                                                                                                                   ",1254.540428,1260.100428
260,"In one of them, humans are at the top of the food chain either because God wanted it that way, or because we figured out how to use our opposable thumbs so well that we could hunt and gather, and till the soil, and build cities, and create copyright laws.                                                    ",1261.680428,1273.550428
261,We make the rules for everything else in this world.                                                                                                                                                                                                                                                               ,1274.950428,1276.740428
262,In the other picture and this is the one PETA has hanging on their wall humans are not at the top.                                                                                                                                                                                                                 ,1278.320428,1282.720428
263,Humans are just another mammal walking around on earth.                                                                                                                                                                                                                                                            ,1283.850428,1286.000428
264,"And if we're gonna give ourselves certain rights as humans, we should extend those rights to our fellow animals.                                                                                                                                                                                                   ",1286.870428,1291.040428
265,You guys are saying humans are not superior to other animals.                                                                                                                                                                                                                                                      ,1292.424828,1295.094828
266,We're we're we're not.                                                                                                                                                                                                                                                                                             ,1296.486128,1297.036128
267,Um we we are just another member of the animal kingdom.                                                                                                                                                                                                                                                            ,1297.546128,1302.106128
268,Um and it it's it doesn't you know it's just prejudice and hubris that prevents us many times from from seeing that.                                                                                                                                                                                               ,1302.956128,1312.546128
269,"This is Jeff Kerr again, the general counsel to PETA.                                                                                                                                                                                                                                                              ",1313.427128,1315.527128
270,That property status is something that we think is just an abomination.                                                                                                                                                                                                                                            ,1316.689628,1319.939628
271,"Um like Naruto, these animals are feeling, sentient beings.                                                                                                                                                                                                                                                        ",1321.229628,1325.889628
272,"They should be entitled to fundamental legal rights beyond simply food, water, veterinary care, and shelter.                                                                                                                                                                                                       ",1327.629628,1334.709628
273,"This idea that animals should have recognized, fundamental legal rights is not unprecedented.                                                                                                                                                                                                                      ",1336.316628,1339.946628
274,"Three years ago in Argentina, a judge granted a habeas corpus petition filed on behalf of an orangutan at a zoo in Buenos Aires.                                                                                                                                                                                   ",1341.756628,1349.276628
275,"She was being held in a tiny, crappy cage.                                                                                                                                                                                                                                                                         ",1350.736628,1352.286628
276,"The judge decided the orangutan had basic rights as a nonhuman person, including the right to freedom.                                                                                                                                                                                                             ",1353.556628,1358.496628
277,"And in New York state, an attorney is fighting to get the courts to recognize that two captive chimps, Tommy and Kiko, are nonhuman persons deserving of legal rights, just like corporations get.                                                                                                                 ",1359.986628,1371.046628
278,"The thing is David Slater, the photographer who's getting sued by the monkey, he agrees with PETA on this point.                                                                                                                                                                                                   ",1376.556628,1381.616628
279,"In fact, he used to defend PETA to his friends when they grumbled about the stunts.                                                                                                                                                                                                                                ",1382.816628,1386.326628
280,David even worked with them once on a campaign to protect wild hogs near his home in England.                                                                                                                                                                                                                      ,1387.866628,1391.906628
281,That that that's one of greatest um shames on on them is that they've attacked somebody who is trying to achieve the same goal as they are.                                                                                                                                                                        ,1392.737028,1401.237028
282,Saving animals from from suffering is a very noble cause.                                                                                                                                                                                                                                                          ,1401.937028,1404.517028
283,But I think sometimes they get carried away with their their power.                                                                                                                                                                                                                                                ,1405.057028,1408.917028
284,"Did the fact that this group that's sort of on your side was the one kind of attacking you or or opposing you, Mm.                                                                                                                                                                                                 ",1409.957928,1415.265028
285,"did that make you stop ever and think, well, now, wait a Do they have a No.                                                                                                                                                                                                                                        ",1415.954128,1421.002728
286,I've had to think very carefully about what my uh philosophy is.                                                                                                                                                                                                                                                   ,1421.202728,1424.312728
287,"Cause I I the book, my Wildlife Personalities book, Mhm.                                                                                                                                                                                                                                                           ",1424.792728,1428.785028
288,"That's that's part of the part of the court case, I argue for for for animals having more fundamental rights, like dignity, and access to their ancestral forests, and Mhm.                                                                                                                                        ",1428.994428,1441.306428
289,access to food.                                                                                                                                                                                                                                                                                                    ,1441.595828,1442.125828
290,Um so I am like an animal rights advocate.                                                                                                                                                                                                                                                                         ,1443.265828,1445.605828
291,Naruto and PETA lost that first round in court.                                                                                                                                                                                                                                                                    ,1451.584928,1453.764928
292,Andrew Dhuey called David to tell him the news.                                                                                                                                                                                                                                                                    ,1454.954928,1456.644928
293,We just took it um very casually.                                                                                                                                                                                                                                                                                  ,1457.290128,1459.200128
294,"We just said, yeah, of course.                                                                                                                                                                                                                                                                                     ",1459.710128,1460.720128
295,Course that's gonna get thrown out.                                                                                                                                                                                                                                                                                ,1461.200128,1462.440128
296,Andrew Dhuey said this all along to me.                                                                                                                                                                                                                                                                            ,1462.670128,1464.750128
297,There's no way that this is gonna go anywhere.                                                                                                                                                                                                                                                                     ,1464.990128,1467.050128
298,And then the monkey appealed.                                                                                                                                                                                                                                                                                      ,1468.224928,1470.004928
299,"Good morning, Your Honors.                                                                                                                                                                                                                                                                                         ",1472.858728,1473.428728
300,"And may it please the court, David Schwarz on behalf of the appellant.                                                                                                                                                                                                                                             ",1473.798728,1477.488728
301,The case went before three judges on the Ninth Circuit Court of Appeals.                                                                                                                                                                                                                                           ,1479.060628,1481.620628
302,That's the court that ruled against Trump's travel ban twice this year.                                                                                                                                                                                                                                            ,1482.920628,1485.600628
303,These judges are not messing around.                                                                                                                                                                                                                                                                               ,1486.340628,1487.510628
304,Schwarz made it thirty seconds into his oral argument before one of the judges interrupted him.                                                                                                                                                                                                                    ,1488.940628,1492.980628
305,"Mr. Schwarz, Your Honor before we get there, there's a preliminary question which um I'd like you to address.                                                                                                                                                                                                                                                                                          ",1493.707428,1500.575528
306,"At this stage, the attorneys and the judges are gonna debate case law.                                                                                                                                                                                                                                             ",1501.739128,1504.659128
307,"And the judges have a lot of questions for Schwarz the first being, how are you qualified to be Naruto's next You don't know the monkey.                                                                                                                                                                           ",1505.349128,1512.259128
308,"the pleading standard for article three And then a few minutes later, Judge Randy Smith interrupts Schwarz to grill him about injury.                                                                                                                                                                              ",1512.654528,1518.601028
309,That's the legal term for harm or damage.                                                                                                                                                                                                                                                                          ,1519.611028,1521.221028
310,"Well, what's your There's no there's no way to acquire or hold some money which the copyright would give.                                                                                                                                                                                                          ",1522.312328,1528.812328
311,There's no losses to reputation.                                                                                                                                                                                                                                                                                   ,1529.822328,1531.062328
312,There's no even uh even there's no even allegation that the copyright could've benefited somehow uh Naruto.                                                                                                                                                                                                        ,1532.582328,1540.182328
313,What financial benefits apply to There's nothing.                                                                                                                                                                                                                                                                  ,1541.722328,1545.162328
314,"It the but, Your Honor, the redressability issue doesn't necessarily turn on the compensation.                                                                                                                                                                                                                     ",1545.858828,1550.948828
315,"It could be Well, I wanna know what then is the injury.                                                                                                                                                                                                                                                            ",1551.818828,1554.454228
316,There's no case that says copyright infringement itself is injury.                                                                                                                                                                                                                                                 ,1555.374228,1559.114228
317,"So what injury do we Whatever the legal merits of this case are, there's just something really enjoyable about hearing lawyers throw around terms like redressability and compensation and injury when they're talking about a monkey.                                                                             ",1560.004228,1571.711628
318,"I mean, if you give me a case that says copyright infringement itself is injury, I'll believe you.                                                                                                                                                                                                                 ",1572.558228,1578.618228
319,But I don't think you've given me one.                                                                                                                                                                                                                                                                             ,1578.778228,1580.138228
320,"What's your The it The judges and Schwarz volley over case law and legal precedent and the definition of author for twenty minutes before handing the floor to David's lawyer, Andrew Dhuey.                                                                                                                       ",1581.018228,1591.604828
321,"And after two years of research and legal filings and oral arguments, Dhuey finally gets his wish to make a monkey joke in court.                                                                                                                                                                                  ",1592.664828,1600.364828
322,"Uh monkey see, monkey sue will not do in federal court.                                                                                                                                                                                                                                                            ",1601.203128,1604.853128
323,"After that, his oral arguments can pretty much be summed up as, you should throw this case out.                                                                                                                                                                                                                    ",1606.722628,1611.202628
324,"And can you please make PETA pay my legal discussed here Once Dhuey is done, Angela Dunning gets up.                                                                                                                                                                                                               ",1611.812628,1617.311028
325,She's the codefendant's attorney.                                                                                                                                                                                                                                                                                  ,1618.461028,1619.471028
326,PETA also sued the selfpublishing book company that David had used.                                                                                                                                                                                                                                                ,1620.501028,1623.871028
327,"So Angela Dunning gets up to deliver her defense, which is also pretty straightforward.                                                                                                                                                                                                                            ",1625.021028,1628.791028
328,Naruto can't benefit financially from his work.                                                                                                                                                                                                                                                                    ,1629.748128,1631.928128
329,He's a monkey.                                                                                                                                                                                                                                                                                                     ,1632.158128,1632.418128
330,David Slater wasn't in court in San Francisco that day.                                                                                                                                                                                                                                                            ,1637.611928,1639.821928
331,He didn't wanna spend the money to travel all the way to California from Wales.                                                                                                                                                                                                                                    ,1640.761928,1643.501928
332,But he watched the whole hearing online.                                                                                                                                                                                                                                                                           ,1644.721928,1645.711928
333,When I watched it and you see three judges there.                                                                                                                                                                                                                                                                  ,1646.849428,1649.749428
334,"And then one attorney comes up, and then my attorney comes up, Andrew and then Angela, and they started talking about monkeys.                                                                                                                                                                                     ",1650.179428,1656.279428
335,Uh it made it real all of a sudden.                                                                                                                                                                                                                                                                                ,1657.889428,1660.709428
336,"That, yes, he was being sued by a monkey.                                                                                                                                                                                                                                                                          ",1661.667228,1663.417228
337,Naruto didn't make it to the hearing either.                                                                                                                                                                                                                                                                       ,1664.957228,1666.197228
338,He stayed in the rainforest in Indonesia.                                                                                                                                                                                                                                                                          ,1667.337228,1668.517228
339,"And to my knowledge, nobody asked him what he thought of all this.                                                                                                                                                                                                                                                 ",1669.617228,1671.917228
340,"After two years, the humans managed to figure things out on their own.                                                                                                                                                                                                                                             ",1680.777228,1683.517228
341,They told the appellate court they didn't want it to rule in the case after all.                                                                                                                                                                                                                                   ,1684.547228,1687.227228
342,"And in September, David and PETA announced they'd reached a settlement.                                                                                                                                                                                                                                            ",1688.407228,1690.997228
343,The details of the settlement are confidential.                                                                                                                                                                                                                                                                    ,1692.967228,1694.067228
344,So I can't tell you much about it.                                                                                                                                                                                                                                                                                 ,1694.757228,1695.897228
345,But here's what I do know.                                                                                                                                                                                                                                                                                         ,1696.537228,1697.187228
346,David Slater still has the monkey selfie copyright registered in his name in two countries.                                                                                                                                                                                                                        ,1698.127228,1701.837228
347,And he agreed to donate twenty five percent of the proceeds of the photos to protect the crested macaques.                                                                                                                                                                                                         ,1702.967228,1707.367228
348,"About Wikipedia, they've still got the monkey selfie up there for anyone to download.                                                                                                                                                                                                                              ",1709.117228,1712.657228
349,They still claim it's in the public domain.                                                                                                                                                                                                                                                                        ,1713.877228,1715.087228
350,"David will have to sue them to get it taken down, which he says he plans to do.                                                                                                                                                                                                                                    ",1716.257228,1719.797228
351,There's just one other thing that should be mentioned about Naruto.                                                                                                                                                                                                                                                ,1721.667228,1723.987228
352,There were a bunch of monkeys around when the selfies were being taken that day.                                                                                                                                                                                                                                   ,1725.687228,1728.607228
353,And PETA consulted with the primatologist who works with those crested black macaques.                                                                                                                                                                                                                             ,1729.897228,1733.047228
354,She's the one who identified Naruto as the monkey in the famous selfie.                                                                                                                                                                                                                                            ,1734.267228,1736.997228
355,But David says that's not right.                                                                                                                                                                                                                                                                                   ,1738.447228,1739.787228
356,Uh Naruto is a male.                                                                                                                                                                                                                                                                                               ,1740.636228,1741.346228
357,I distinctly remember it being female.                                                                                                                                                                                                                                                                             ,1744.066228,1746.086228
358,Um I distinctly remember that pink rump uh which the male the female macaques have.                                                                                                                                                                                                                                ,1748.827428,1754.317428
359,Basically what you're saying is is that Naruto is making a fraudulent claim himself.                                                                                                                                                                                                                               ,1755.442528,1760.698128
360,It's the wrong monkey in court.                                                                                                                                                                                                                                                                                    ,1763.814928,1764.724928
361,I He's taking credit for an artistic work that was actually made by a female monkey.                                                                                                                                                                                                                               ,1765.894928,1769.600328
362,And I think well the the feminists amongst us should should start to protest.                                                                                                                                                                                                                                      ,1771.208028,1775.138028
363,I'm sure she's not the first lady monkey to have this kind of experience.                                                                                                                                                                                                                                          ,1776.225428,1779.295428
364,It's in the nature of both humans and monkeys to horse around in front of cameras.                                                                                                                                                                                                                                 ,1787.205428,1790.695428
365,But it's a uniquely human characteristic                                                                                                                                                                                                                                                                           ,1792.165428,1793.255428
